"","Beebase","FBO_Module","FBO_DEG_Type","active_bias","sterile_bias","Entrez","D_melanogaster_Protein_ID","D_melanogaster_Gene_ID","accession","Gene_name"
"2692","GB42825","FBO  1",NA,NA,NA,"724895","#N/A","#N/A","XM_001120795.3"," PREDICTED: Apis mellifera arginine-glutamic acid dipeptide repeats protein-like (LOC724895), transcript variant X1, mRNA"
"2693","GB42826","FBO  2","Reproductive",NA,NA,NA,NA,NA,NA,NA
"2694","GB42827","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_006561701.1"," PREDICTED: Apis mellifera guanine nucleotide exchange factor for Rab-3A-like (LOC409085), transcript variant X3, mRNA"
"2695","GB42828","FBO  5",NA,NA,NA,"409085","#N/A","#N/A","XM_006561702.1"," PREDICTED: Apis mellifera guanine nucleotide exchange factor for Rab-3A-like (LOC409085), transcript variant X4, mRNA"
"2696","GB42829","FBO  5",NA,NA,NA,"406152","FBpp0088908","FBgn0034405","XM_394922.5"," PREDICTED: Apis mellifera epoxide hydrolase (LOC406152), mRNA"
"2697","GB42830","FBO  9",NA,NA,NA,"725227","#N/A","#N/A","XM_001121104.3"," PREDICTED: Apis mellifera gem-associated protein 6-like (LOC725227), mRNA"
"2698","GB42831","FBO  13","Sterile",NA,NA,NA,"#N/A","#N/A","XM_006561706.1"," PREDICTED: Apis mellifera reticulon-4-like (LOC102656074), transcript variant X2, mRNA"
"2699","GB42832","FBO  7","Sterile",NA,NA,NA,"#N/A","#N/A","XM_006561707.1"," PREDICTED: Apis mellifera reticulon-4-like (LOC102656074), transcript variant X3, mRNA"
"2700","GB42833","FBO  7","Sterile",NA,NA,NA,NA,NA,NA,NA
"2701","GB42834","FBO  7","Sterile",NA,NA,NA,"FBpp0290753","FBgn0053113","XM_006561708.1"," PREDICTED: Apis mellifera reticulon-4-like (LOC102656074), transcript variant X4, mRNA"
"2702","GB42835","FBO  5",NA,NA,NA,"409267","FBpp0077501","FBgn0004507","XM_006561711.1"," PREDICTED: Apis mellifera glycogen phosphorylase (GlyP), mRNA"
"2703","GB42836","FBO  4",NA,NA,NA,NA,"FBpp0077760","FBgn0031213","XM_001121099.3"," PREDICTED: Apis mellifera galectin-9-like (LOC725222), transcript variant X1, mRNA"
"2704","GB42837","FBO  2","Reproductive",NA,NA,"552245","FBpp0076592","FBgn0035766","XM_006561712.1"," PREDICTED: Apis mellifera N-acetyltransferase eco (eco), mRNA"
"2705","GB42838","FBO  11",NA,NA,NA,"552289","FBpp0088583","FBgn0031883","XM_624665.4"," PREDICTED: Apis mellifera RNA-binding protein 39-like (LOC552289), transcript variant X6, mRNA"
"2706","GB42839","FBO  1","Sterile",NA,NA,NA,NA,NA,NA,NA
"2707","GB42840","FBO  6",NA,NA,NA,"725596","FBpp0079776","FBgn0032305","XM_001121422.3"," PREDICTED: Apis mellifera leukocyte receptor cluster member 8 homolog (LOC725596), transcript variant X1, mRNA"
"2708","GB42841","FBO  5",NA,NA,NA,"412025","FBpp0289511","FBgn0034432","XM_006561732.1"," PREDICTED: Apis mellifera very long-chain specific acyl-CoA dehydrogenase, mitochondrial-like (LOC412025), mRNA"
"2709","GB42842","FBO  5",NA,NA,NA,NA,"#N/A","#N/A","XM_006561732.1"," PREDICTED: Apis mellifera very long-chain specific acyl-CoA dehydrogenase, mitochondrial-like (LOC412025), mRNA"
"2710","GB42843","FBO  4",NA,NA,NA,NA,"#N/A","#N/A","XM_006561734.1"," PREDICTED: Apis mellifera guanine nucleotide exchange factor DBS-like (LOC409217), transcript variant X1, mRNA"
"2711","GB42844","FBO  9","Reproductive",NA,NA,"409217","FBpp0085412","FBgn0050440","XM_006561734.1"," PREDICTED: Apis mellifera guanine nucleotide exchange factor DBS-like (LOC409217), transcript variant X1, mRNA"
"2712","GB42845","FBO  5",NA,NA,NA,"551523","FBpp0072072","FBgn0022708","XM_623918.4"," PREDICTED: Apis mellifera adenylate kinase 2, mitochondrial (Adk2), mRNA"
"2713","GB42846","FBO  2",NA,NA,NA,"409279","FBpp0087897","FBgn0033260","XM_392800.5"," PREDICTED: Apis mellifera cullin-4B-like (LOC409279), mRNA"
"2714","GB42847","FBO  10",NA,NA,NA,"725938","FBpp0073826","FBgn0026428","XM_006561894.1"," PREDICTED: Apis mellifera histone deacetylase 6 (HDAC6), mRNA"
"2715","GB42848","FBO  5",NA,NA,NA,"726030","FBpp0079758","FBgn0053129","XM_006561739.1"," PREDICTED: Apis mellifera transmembrane protein 214-like (LOC726030), mRNA"
"2716","GB42849","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_006561895.1"," PREDICTED: Apis mellifera putative ATP-dependent RNA helicase DHX30-like (LOC726077), mRNA"
"2717","GB42850","FBO  1",NA,NA,NA,"726214","#N/A","#N/A","NM_001098220.1"," Apis mellifera nicotinic acetylcholine receptor alpha1 subunit (nAChRa1), mRNA"
"2718","GB42851","FBO  1",NA,NA,NA,"100578227","FBpp0111660","FBgn0085473","XM_006561749.1"," PREDICTED: Apis mellifera uncharacterized LOC100578227 (LOC100578227), transcript variant X2, mRNA"
"2719","GB42852","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_006561748.1"," PREDICTED: Apis mellifera uncharacterized LOC100578227 (LOC100578227), transcript variant X1, mRNA"
"2720","GB42853","FBO  2","Reproductive",NA,NA,"100578323","FBpp0074048","FBgn0030747","XM_003249922.2"," PREDICTED: Apis mellifera ATPase, class VI, type 11B (ATP11B), mRNA"
"2721","GB42854","FBO  5",NA,NA,NA,"551880","FBpp0082575","FBgn0038318","XM_624266.4"," PREDICTED: Apis mellifera uncharacterized LOC551880 (LOC551880), mRNA"
"2722","GB42855","FBO  5",NA,NA,NA,"413917","FBpp0084183","FBgn0039293","XM_006561765.1"," PREDICTED: Apis mellifera alpha-1,2-mannosyltransferase ALG9-like (LOC413917), mRNA"
"2723","GB42856","FBO  1",NA,NA,NA,"409017","FBpp0078657","FBgn0031682","XM_006561764.1"," PREDICTED: Apis mellifera pantothenate kinase 4 (PANK4), transcript variant X5, mRNA"
"2724","GB42857","FBO  1",NA,NA,NA,"100577151","#N/A","#N/A","XM_003249883.2"," PREDICTED: Apis mellifera uncharacterized LOC100577151 (LOC100577151), mRNA"
"2725","GB42858","FBO  1","Sterile",NA,NA,NA,"FBpp0076256","FBgn0043806","XM_392545.5"," PREDICTED: Apis mellifera uncharacterized LOC409016 (LOC409016), transcript variant X2, mRNA"
"2726","GB42859","FBO  10",NA,NA,NA,NA,"#N/A","#N/A","XM_006561774.1"," PREDICTED: Apis mellifera biogenesis of lysosome-related organelles complex 1 subunit 5-like (LOC102656006), transcript variant X1, mRNA"
"2727","GB42860","FBO  9",NA,NA,NA,NA,"FBpp0083608","FBgn0260467","XM_006561773.1"," PREDICTED: Apis mellifera transmembrane protein 199-like (LOC411335), mRNA"
"2728","GB42861","FBO  10",NA,NA,NA,"726638","FBpp0078337","FBgn0037338","XM_006561781.1"," PREDICTED: Apis mellifera protein artemis-like (LOC726638), transcript variant X3, mRNA"
"2729","GB42862","FBO  10",NA,NA,NA,"409015","FBpp0079542","FBgn0032198","XM_006561776.1"," PREDICTED: Apis mellifera elongation factor 1-delta (eEF1delta), transcript variant X1, mRNA"
"2730","GB42863","FBO  9",NA,NA,NA,NA,NA,NA,NA,NA
"2731","GB42864","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_006561791.1"," PREDICTED: Apis mellifera solute carrier organic anion transporter family member 3A1-like (LOC100577409), transcript variant X1, mRNA"
"2732","GB42865","FBO  7","Sterile",NA,NA,"100577409","FBpp0074939","FBgn0036732","XR_409190.1"," PREDICTED: Apis mellifera solute carrier organic anion transporter family member 3A1-like (LOC100577409), transcript variant X3, misc_RNA"
"2733","GB42866","FBO  7","Sterile",NA,NA,"409012","FBpp0293597","FBgn0259246","XM_006561508.1"," PREDICTED: Apis mellifera bruchpilot (brp), transcript variant X1, mRNA"
"2734","GB42867","FBO  20",NA,NA,NA,NA,"#N/A","#N/A","NM_001256040.1"," Apis mellifera uncharacterized LOC100859932 (LOC100859932), mRNA"
"2735","GB42868","FBO  6",NA,NA,NA,NA,NA,NA,NA,NA
"2736","GB42869","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_006561900.1"," PREDICTED: Apis mellifera adenylate cyclase type 10-like (LOC100578700), mRNA"
"2737","GB42870","FBO  12",NA,NA,NA,NA,NA,NA,NA,NA
"2738","GB42871","FBO  4",NA,NA,NA,"409011","FBpp0079590","FBgn0032229","XM_392540.5"," PREDICTED: Apis mellifera putative ATP-dependent Clp protease proteolytic subunit, mitochondrial-like (LOC409011), transcript variant X6, mRNA"
"2739","GB42872","FBO  2","Reproductive",NA,NA,"411327","FBpp0294012","FBgn0010382","XM_394802.3"," PREDICTED: Apis mellifera G1/S-specific cyclin-E (CycE), mRNA"
"2740","GB42873","FBO  6",NA,NA,NA,NA,"#N/A","#N/A","XM_006561816.1"," PREDICTED: Apis mellifera transforming acidic coiled-coil protein (tacc), transcript variant X2, mRNA"
"2741","GB42874","FBO  2",NA,NA,NA,"411326","FBpp0291772","FBgn0026620","XM_006561815.1"," PREDICTED: Apis mellifera transforming acidic coiled-coil protein (tacc), transcript variant X1, mRNA"
"2742","GB42875","FBO  3",NA,NA,NA,"726941","FBpp0297618","FBgn0031170","XM_003249891.2"," PREDICTED: Apis mellifera retinal-specific ATP-binding cassette transporter-like (LOC726941), transcript variant X2, mRNA"
"2743","GB42876","FBO  6",NA,NA,NA,NA,"#N/A","#N/A","XR_409192.1"," PREDICTED: Apis mellifera uncharacterized LOC102654316 (LOC102654316), transcript variant X2, ncRNA"
"2744","GB42877","FBO  2","Reproductive",NA,NA,NA,"#N/A","#N/A","XM_392538.5"," PREDICTED: Apis mellifera uncharacterized LOC409009 (LOC409009), transcript variant 1, mRNA"
"2745","GB42878","FBO  14",NA,NA,NA,NA,"FBpp0089363","FBgn0015907","XM_006561827.1"," PREDICTED: Apis mellifera bancal (bl), transcript variant X8, mRNA"
"2746","GB42879","FBO  14",NA,NA,NA,NA,"#N/A","#N/A","XM_006561827.1"," PREDICTED: Apis mellifera bancal (bl), transcript variant X8, mRNA"
"2747","GB42880","FBO  3",NA,NA,NA,"409005","FBpp0087734","FBgn0033350","XM_392534.5"," PREDICTED: Apis mellifera protein FAM8A1-like (LOC409005), transcript variant X2, mRNA"
"2748","GB42881","FBO  4",NA,NA,NA,"409004","FBpp0079943","FBgn0015797","XM_392533.5"," PREDICTED: Apis mellifera Rab-protein 6 (Rab6), transcript variant X2, mRNA"
"2749","GB42882","FBO  1",NA,NA,NA,NA,NA,NA,NA,NA
"2750","GB42883","FBO  6",NA,NA,NA,NA,NA,NA,NA,NA
"2751","GB42884","FBO  1",NA,NA,NA,"724358","FBpp0081065","FBgn0051146","XM_006561835.1"," PREDICTED: Apis mellifera neuroligin 1 (NLG-1), transcript variant X1, mRNA"
"2752","GB42885","FBO  8",NA,NA,NA,"411321","FBpp0290894","FBgn0083975","XM_006561557.1"," PREDICTED: Apis mellifera neuroligin 4 (NLG-4), transcript variant X3, mRNA"
"2753","GB42886","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_006561556.1"," PREDICTED: Apis mellifera neuroligin 4 (NLG-4), transcript variant X2, mRNA"
"2754","GB42887","FBO  4","Reproductive",NA,NA,"551922","FBpp0077492","FBgn0031381","XM_624307.4"," PREDICTED: Apis mellifera protein NPC2 homolog (LOC551922), mRNA"
"2755","GB42888","FBO  16",NA,NA,NA,"724521","#N/A","#N/A","XM_001120395.3"," PREDICTED: Apis mellifera uncharacterized LOC724521 (LOC724521), transcript variant X1, mRNA"
"2756","GB42889","FBO  7","Sterile",NA,NA,"724616","FBpp0084518","FBgn0039478","XM_001120510.3"," PREDICTED: Apis mellifera neprilysin 5 (Nep5), transcript variant X1, mRNA"
"2757","GB42890","FBO  1",NA,NA,NA,"100578860","#N/A","#N/A","XM_003249925.2"," PREDICTED: Apis mellifera uncharacterized LOC100578860 (LOC100578860), mRNA"
"2758","GB42891","FBO  7","Sterile",NA,NA,NA,"#N/A","#N/A","XM_006561901.1"," PREDICTED: Apis mellifera inner centromere protein A-like (LOC102655319), mRNA"
"2759","GB42892","FBO  8",NA,NA,NA,"100578699","FBpp0070200","FBgn0004650","XM_003249898.2"," PREDICTED: Apis mellifera uncharacterized LOC100578699 (LOC100578699), mRNA"
"2760","GB42893","FBO  1",NA,NA,NA,NA,NA,NA,NA,NA
"2761","GB42894","FBO  2","Reproductive",NA,NA,"409001","FBpp0292356","FBgn0025641","XM_006561849.1"," PREDICTED: Apis mellifera dishevelled associated activator of morphogenesis (DAAM), transcript variant X1, mRNA"
"2762","GB42895","FBO  7","Sterile",NA,NA,"100578774","FBpp0073952","FBgn0030716","XM_003249899.2"," PREDICTED: Apis mellifera uncharacterized LOC100578774 (LOC100578774), transcript variant X1, mRNA"
"2763","GB42896","FBO  20",NA,NA,NA,NA,"#N/A","#N/A","XM_006561860.1"," PREDICTED: Apis mellifera h2.0-like homeobox protein-like (LOC725302), mRNA"
"2764","GB42897","FBO  8",NA,NA,NA,"725302","FBpp0078858","FBgn0001170","XM_006561860.1"," PREDICTED: Apis mellifera h2.0-like homeobox protein-like (LOC725302), mRNA"
"2765","GB42898","FBO  1",NA,NA,NA,"725335","#N/A","#N/A","XM_006561859.1"," PREDICTED: Apis mellifera cytochrome P450 334A1 (CYP334A1), transcript variant X2, mRNA"
"2766","GB42899","FBO  3",NA,NA,NA,"551133","FBpp0111303","FBgn0085224","XM_006561873.1"," PREDICTED: Apis mellifera uncharacterized LOC551133 (LOC551133), transcript variant X1, mRNA"
"2767","GB42900","FBO  4",NA,NA,NA,NA,"#N/A","#N/A","XM_003249904.2"," PREDICTED: Apis mellifera uncharacterized LOC100576161 (LOC100576161), mRNA"
"2768","GB42901","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_006561904.1"," PREDICTED: Apis mellifera uncharacterized LOC102655476 (LOC102655476), mRNA"
"2769","GB42902","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_006561875.1"," PREDICTED: Apis mellifera uncharacterized LOC102653835 (LOC102653835), mRNA"
"2770","GB42903","FBO  1","Sterile",NA,NA,"100576192","#N/A","#N/A","XM_006561876.1"," PREDICTED: Apis mellifera uncharacterized LOC100576192 (LOC100576192), transcript variant X2, mRNA"
"2771","GB42904","FBO  6","Sterile",NA,NA,NA,"#N/A","#N/A","XM_006561905.1"," PREDICTED: Apis mellifera uncharacterized LOC102655512 (LOC102655512), mRNA"
"2772","GB42905","FBO  1","Sterile",NA,NA,NA,"#N/A","#N/A","XM_006561877.1"," PREDICTED: Apis mellifera uncharacterized LOC102653932 (LOC102653932), transcript variant X1, mRNA"
"2773","GB42906","FBO  1","Sterile",NA,NA,NA,"#N/A","#N/A","XM_006561880.1"," PREDICTED: Apis mellifera uncharacterized LOC102654053 (LOC102654053), mRNA"
"2774","GB42907","FBO  1",NA,NA,NA,"725903","#N/A","#N/A","XM_001121697.3"," PREDICTED: Apis mellifera uncharacterized LOC725903 (LOC725903), mRNA"
"2775","GB42908","FBO  7",NA,NA,NA,NA,"#N/A","#N/A","XM_006561881.1"," PREDICTED: Apis mellifera protein doublesex-like (LOC102654158), mRNA"
"2776","GB42909","FBO  1",NA,NA,NA,"725969","#N/A","#N/A","XM_001121754.3"," PREDICTED: Apis mellifera uncharacterized LOC725969 (LOC725969), mRNA"
"2777","GB42910","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_006561882.1"," PREDICTED: Apis mellifera mantle protein-like (LOC102654246), mRNA"
"2778","GB42911","FBO  17",NA,NA,NA,"726001","#N/A","#N/A","XM_001121782.3"," PREDICTED: Apis mellifera uncharacterized LOC726001 (LOC726001), mRNA"
"2779","GB42912","FBO  1",NA,NA,NA,"726031","#N/A","#N/A","NM_001174139.1"," Apis mellifera uncharacterized protein LOC726031 (LOC726031), mRNA"
"2780","GB42913","FBO  1",NA,NA,NA,NA,NA,NA,NA,NA
"2781","GB42914","FBO  2","Reproductive",NA,NA,NA,"#N/A","#N/A","XR_409207.1"," PREDICTED: Apis mellifera uncharacterized LOC102654507 (LOC102654507), ncRNA"
"2782","GB42915","FBO  5",NA,NA,NA,NA,NA,NA,NA,NA
"2783","GB42916","FBO  3",NA,NA,NA,NA,"#N/A","#N/A","XM_003251947.2"," PREDICTED: Apis mellifera uncharacterized LOC100577076 (LOC100577076), mRNA"
"2784","GB42917","FBO  6",NA,NA,NA,"409441","FBpp0085372","FBgn0033031","XM_392954.3"," PREDICTED: Apis mellifera transmembrane protein 53-like (LOC409441), mRNA"
"2785","GB42918","FBO  3",NA,NA,NA,"409442","FBpp0074036","FBgn0030724","XM_006572262.1"," PREDICTED: Apis mellifera protein NipSnap (Nipsnap), mRNA"
"2786","GB42919","FBO  5",NA,NA,NA,"727180","FBpp0083399","FBgn0038827","XM_006572257.1"," PREDICTED: Apis mellifera Fanconi anemia group D2 protein homolog (LOC727180), transcript variant X2, mRNA"
"2787","GB42920","FBO  2","Reproductive",NA,NA,"552662","FBpp0071158","FBgn0030049","XR_412427.1"," PREDICTED: Apis mellifera PAP-associated domain-containing protein 5-like (LOC552662), misc_RNA"
"2788","GB42921","FBO  2","Reproductive",NA,NA,"552677","FBpp0084115","FBgn0039227","XM_006572248.1"," PREDICTED: Apis mellifera polybromo protein (polybromo), transcript variant X4, mRNA"
"2789","GB42922","FBO  3",NA,NA,NA,"412522","#N/A","#N/A","XM_625070.4"," PREDICTED: Apis mellifera pyruvate dehydrogenase 2 (LOC412522), mRNA"
"2790","GB42923","FBO  2",NA,NA,NA,NA,"FBpp0086200","FBgn0015562","XM_006572241.1"," PREDICTED: Apis mellifera GPI mannosyltransferase 2-like (LOC102655219), mRNA"
"2791","GB42924","FBO  3","Sterile",NA,NA,"412448","FBpp0288457","FBgn0038312","XM_395905.4"," PREDICTED: Apis mellifera zinc transporter ZIP3-like (LOC412448), mRNA"
"2792","GB42925","FBO  12",NA,NA,NA,"413592","FBpp0074555","FBgn0052533","XM_006572240.1"," PREDICTED: Apis mellifera probable ATP-dependent RNA helicase DHX34-like (LOC413592), mRNA"
"2793","GB42926","FBO  12",NA,NA,NA,NA,"FBpp0079154","FBgn0031971","XM_006572244.1"," PREDICTED: Apis mellifera UPF0369 protein C6orf57 homolog (LOC726174), mRNA"
"2794","GB42927","FBO  10",NA,NA,NA,"100578223","#N/A","#N/A","XM_003251867.2"," PREDICTED: Apis mellifera uncharacterized LOC100578223 (LOC100578223), transcript variant X1, mRNA"
"2795","GB42928","FBO  2",NA,NA,NA,NA,"#N/A","#N/A","XM_006572253.1"," PREDICTED: Apis mellifera polybromo protein (polybromo), transcript variant X9, mRNA"
"2796","GB42929","FBO  3",NA,NA,NA,"412396","FBpp0080835","FBgn0032833","XM_006572254.1"," PREDICTED: Apis mellifera cytochrome c oxidase subunit IV isoform 1 (Cox4I1), transcript variant X1, mRNA"
"2797","GB42930","FBO  10",NA,NA,NA,"412661","FBpp0081867","FBgn0037902","XM_623590.3"," PREDICTED: Apis mellifera transmembrane protein 20-like (LOC412661), transcript variant X2, mRNA"
"2798","GB42931","FBO  3",NA,NA,NA,"726054","FBpp0300867","FBgn0030503","XM_001121829.3"," PREDICTED: Apis mellifera transport and golgi organization 2 (Tango2), mRNA"
"2799","GB42932","FBO  5",NA,NA,NA,"411886","FBpp0074496","FBgn0000257","XM_395353.3"," PREDICTED: Apis mellifera vacuolar protein sorting-associated protein 33A ortholog (car), transcript variant X2, mRNA"
"2800","GB42933","FBO  11",NA,NA,NA,"413126","FBpp0074540","FBgn0031030","XM_006572259.1"," PREDICTED: Apis mellifera serine/threonine-protein kinase TAO1 (Tao-1), transcript variant X2, mRNA"
"2801","GB42934","FBO  3",NA,NA,NA,NA,"FBpp0290511","FBgn0037263","XM_006572260.1"," PREDICTED: Apis mellifera structure-specific endonuclease subunit slx1-like (LOC102656132), transcript variant X1, mRNA"
"2802","GB42935","FBO  2",NA,NA,NA,NA,"#N/A","#N/A","XM_001122411.3"," PREDICTED: Apis mellifera organic cation transporter-like protein-like (LOC726688), mRNA"
"2803","GB42936","FBO  2",NA,NA,NA,NA,"#N/A","#N/A","XR_408569.1"," PREDICTED: Apis mellifera uncharacterized LOC102654285 (LOC102654285), ncRNA"
"2804","GB42937","FBO  8",NA,NA,NA,NA,NA,NA,NA,NA
"2805","GB42938","FBO  8",NA,NA,NA,NA,NA,NA,NA,NA
"2806","GB42939","FBO  1",NA,NA,NA,NA,NA,NA,NA,NA
"2807","GB42940","FBO  5",NA,NA,NA,"408303","FBpp0088814","FBgn0013305","XM_006559984.1"," PREDICTED: Apis mellifera glutamate [NMDA] receptor-associated protein 1-like (LOC408303), transcript variant X2, mRNA"
"2808","GB42941","FBO  10",NA,NA,NA,NA,"FBpp0086069","FBgn0022029","XM_391856.5"," PREDICTED: Apis mellifera uridine-cytidine kinase-like 1-like (LOC408305), transcript variant 1, mRNA"
"2809","GB42942","FBO  7","Sterile",NA,NA,"408306","FBpp0289190","FBgn0040297","XR_408563.1"," PREDICTED: Apis mellifera Na[+]/H[+] hydrogen exchanger 2 (Nhe2), transcript variant X3, misc_RNA"
"2810","GB42943","FBO  10",NA,NA,NA,NA,"FBpp0289652","FBgn0083945","XM_393729.4"," PREDICTED: Apis mellifera uncharacterized LOC410247 (LOC410247), mRNA"
"2811","GB42944","FBO  4",NA,NA,NA,"410241","FBpp0077029","FBgn0015789","XM_393723.5"," PREDICTED: Apis mellifera Rab-protein 10 (Rab10), transcript variant X2, mRNA"
"2812","GB42945","FBO  9",NA,NA,NA,"724542","FBpp0075239","FBgn0263605","XM_003249547.2"," PREDICTED: Apis mellifera cirhin-like (LOC724542), mRNA"
"2813","GB42946","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XR_408568.1"," PREDICTED: Apis mellifera uncharacterized LOC102654079 (LOC102654079), transcript variant X3, ncRNA"
"2814","GB42947","FBO  14",NA,NA,NA,NA,NA,NA,NA,NA
"2815","GB42948","FBO  8",NA,NA,NA,NA,NA,NA,NA,NA
"2816","GB42949","FBO  2","Reproductive",NA,NA,NA,"FBpp0293081","FBgn0010300","XM_006571920.1"," PREDICTED: Apis mellifera brain tumor (brat), transcript variant X3, mRNA"
"2817","GB42950","FBO  2",NA,NA,NA,NA,"#N/A","#N/A","XM_006571918.1"," PREDICTED: Apis mellifera histone-lysine N-methyltransferase SETMAR-like (LOC102654572), mRNA"
"2818","GB42951","FBO  10",NA,NA,NA,NA,"#N/A","#N/A","XM_006569987.1"," PREDICTED: Apis mellifera ankyrin repeat and BTB/POZ domain-containing protein BTBD11-like (LOC551188), transcript variant X2, mRNA"
"2819","GB42952","FBO  9",NA,NA,NA,"724676","FBpp0075272","FBgn0000115","XM_001120141.3"," PREDICTED: Apis mellifera Arflike at 72A ortholog (LOC724676), transcript variant 1, mRNA"
"2820","GB42953","FBO  6",NA,NA,NA,NA,"#N/A","#N/A","XM_006569974.1"," PREDICTED: Apis mellifera leukocyte surface antigen CD53-like (LOC102655130), transcript variant X3, mRNA"
"2821","GB42954","FBO  7","Sterile",NA,NA,NA,"#N/A","#N/A","XM_006569981.1"," PREDICTED: Apis mellifera teneurin-3-like (LOC411155), transcript variant X7, mRNA"
"2822","GB42955","FBO  4",NA,NA,NA,NA,NA,NA,NA,NA
"2823","GB42956","FBO  1",NA,NA,NA,NA,NA,NA,NA,NA
"2824","GB42957","FBO  5",NA,NA,NA,NA,"#N/A","#N/A","XM_003251427.2"," PREDICTED: Apis mellifera uncharacterized LOC100577846 (LOC100577846), mRNA"
"2825","GB42958","FBO  3",NA,NA,NA,NA,"#N/A","#N/A","XM_003251427.2"," PREDICTED: Apis mellifera uncharacterized LOC100577846 (LOC100577846), mRNA"
"2826","GB42959","FBO  3",NA,NA,NA,NA,"#N/A","#N/A","XM_006569971.1"," PREDICTED: Apis mellifera uncharacterized LOC727380 (LOC727380), mRNA"
"2827","GB42960","FBO  4",NA,NA,NA,"409977","FBpp0074578","FBgn0031070","XM_393467.5"," PREDICTED: Apis mellifera protein CIP2A-like (LOC409977), transcript variant X2, mRNA"
"2828","GB42961","FBO  3",NA,NA,NA,"552314","FBpp0289447","FBgn0031117","XM_624689.3"," PREDICTED: Apis mellifera glutathione S-transferase T1 (GstT1), mRNA"
"2829","GB42962","FBO  1",NA,NA,NA,"412021","FBpp0078155","FBgn0037162","XM_006569960.1"," PREDICTED: Apis mellifera coiled-coil domain-containing protein 19, mitochondrial-like (LOC412021), mRNA"
"2830","GB42963","FBO  3",NA,NA,NA,"412020","FBpp0113095","FBgn0031813","XM_006569965.1"," PREDICTED: Apis mellifera peroxisomal acyl-coenzyme A oxidase 3-like (LOC412020), transcript variant X1, mRNA"
"2831","GB42964","FBO  10",NA,NA,NA,"552204","FBpp0078855","FBgn0031765","XM_624581.4"," PREDICTED: Apis mellifera beta-1,3-glucosyltransferase-like (LOC552204), transcript variant 2, mRNA"
"2832","GB42965","FBO  5",NA,NA,NA,NA,"FBpp0075915","FBgn0036150","XM_006569964.1"," PREDICTED: Apis mellifera glutamate receptor, ionotropic kainate 1-like (LOC727346), mRNA"
"2833","GB42966","FBO  5",NA,NA,NA,"409317","FBpp0074122","FBgn0030800","XM_006569962.1"," PREDICTED: Apis mellifera nitrogen permease regulator 2-like protein-like (LOC409317), transcript variant X2, mRNA"
"2834","GB42967","FBO  3",NA,NA,NA,NA,"#N/A","#N/A","XM_006569967.1"," PREDICTED: Apis mellifera uncharacterized LOC102654930 (LOC102654930), transcript variant X1, mRNA"
"2835","GB42968","FBO  3",NA,NA,NA,"552331","FBpp0075042","FBgn0036697","XM_624707.4"," PREDICTED: Apis mellifera protein rogdi (rogdi), transcript variant X2, mRNA"
"2836","GB42969","FBO  10",NA,NA,NA,"409336","#N/A","#N/A","XM_006569988.1"," PREDICTED: Apis mellifera sialin-like (LOC409336), mRNA"
"2837","GB42970","FBO  10",NA,NA,NA,"100577764","FBpp0077475","FBgn0014010","XM_006569970.1"," PREDICTED: Apis mellifera ras-related protein Rab-5B-like (LOC100577764), mRNA"
"2838","GB42971","FBO  5",NA,NA,NA,NA,"#N/A","#N/A","XM_006569970.1"," PREDICTED: Apis mellifera ras-related protein Rab-5B-like (LOC100577764), mRNA"
"2839","GB42972","FBO  17",NA,NA,NA,NA,NA,NA,NA,NA
"2840","GB42973","FBO  5",NA,NA,NA,"724610","FBpp0077735","FBgn0021874","XM_006569989.1"," PREDICTED: Apis mellifera notchless (Nle), mRNA"
"2841","GB42974","FBO  1",NA,NA,NA,NA,NA,NA,NA,NA
"2842","GB42975","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_006569979.1"," PREDICTED: Apis mellifera teneurin-3-like (LOC411155), transcript variant X5, mRNA"
"2843","GB42976","FBO  7","Sterile",NA,NA,"411155","FBpp0289137","FBgn0259240","XM_006569981.1"," PREDICTED: Apis mellifera teneurin-3-like (LOC411155), transcript variant X7, mRNA"
"2844","GB42977","FBO  4",NA,NA,NA,"551398","FBpp0075277","FBgn0263600","XM_623792.4"," PREDICTED: Apis mellifera DNA polymerase delta catalytic subunit (DNApol-delta), transcript variant X3, mRNA"
"2845","GB42978","FBO  6",NA,NA,NA,NA,"#N/A","#N/A","XM_006569987.1"," PREDICTED: Apis mellifera ankyrin repeat and BTB/POZ domain-containing protein BTBD11-like (LOC551188), transcript variant X2, mRNA"
"2846","GB42979","FBO  7","Sterile",NA,NA,"551188","FBpp0078081","FBgn0053291","XM_623582.4"," PREDICTED: Apis mellifera ankyrin repeat and BTB/POZ domain-containing protein BTBD11-like (LOC551188), transcript variant X3, mRNA"
